transaction_id,transaction_datetime,transaction_amount,merchant_category,transaction_type,entry_mode,transaction_city,transaction_state,transaction_country,currency_code,is_international,is_fraud,cardholder_age,cardholder_gender,is_online,approval_status,merchant_name,is_online_fraud,is_international_fraud,transaction_month,transaction_dayofweek,transaction_hour,transaction_type_idx,merchant_category_idx,entry_mode_idx,cluster_labels,predictions,df_pred
TXN000383,2023-11-30T21:34:00.000Z,2903.39,luxury_goods,purchase,manual,Paris,NA,FRA,EUR,1,true,61,male,1,declined,ATM Withdrawal,true,true,11,5,21,0.0,15.0,2.0,3,-1,1
TXN000454,2024-03-01T12:58:38.000Z,1.24,books,refund,online,San Diego,CA,USA,USD,0,false,22,female,0,pending,ElectroZone,false,false,3,6,12,1.0,1.0,0.0,0,1,0
TXN000059,2024-06-10T13:11:08.000Z,205.75,apparel,purchase,contactless,Dallas,TX,USA,USD,0,false,57,Male,0,approved,FashionBay,false,false,6,2,13,0.0,7.0,3.0,2,1,0
TXN000349,2024-02-18T14:22:21.000Z,14.55,restaurant,purchase,swipe,Portland,OR,USA,USD,0,false,45,Male,0,approved,TinyCafe,false,false,2,1,14,0.0,14.0,4.0,2,1,0
TXN0004010,2024-07-02T23:41:16.000Z,54.2,fuel,purchase,contactless,Miami,FL,USA,USD,0,false,57,Female,0,approved,FuelExpress,false,false,7,3,23,0.0,9.0,3.0,2,1,0
TXN0004093,2024-01-21T12:57:16.000Z,82.72,fuel,purchase,swipe,Boston,MA,USA,USD,0,false,67,Female,0,pending,FuelExpress,false,false,1,1,12,0.0,9.0,4.0,2,1,0
TXN0004145,2024-06-11T18:44:39.000Z,15.93,books,purchase,chip,Boston,MA,USA,USD,0,false,34,Other,0,pending,BookNest,false,false,6,3,18,0.0,1.0,1.0,0,1,0
TXN0004150,2024-02-09T06:31:34.000Z,8.66,gifts,refund,manual,Phoenix,AZ,USA,USD,0,false,46,Male,0,pending,GiftWorld,false,false,2,6,6,1.0,6.0,2.0,3,1,0
TXN0004176,2024-02-06T00:26:18.000Z,111.57,electronics,refund,manual,Phoenix,AZ,USA,USD,0,false,39,Female,0,pending,ElectroZone,false,false,2,3,0,1.0,0.0,2.0,3,1,0
TXN0004255,2024-04-04T10:48:33.000Z,0.5,miscellaneous,purchase,manual,NA,NA,USA,USD,0,false,28,Female,0,pending,EdgeCaseStore,false,false,4,5,10,0.0,20.0,2.0,3,1,0
TXN0004300,2024-06-11T08:56:14.000Z,9406.68,financial,transfer,online,New York,NY,USA,USD,0,true,37,Male,1,declined,ATM Network,true,false,6,3,8,3.0,5.0,0.0,1,-1,1
TXN0004314,2024-03-29T06:16:24.000Z,3289.18,travel,purchase,online,Munich,BY,DEU,EUR,1,false,59,Male,1,pending,Sunshine Travel,false,false,3,6,6,0.0,3.0,0.0,0,1,0
TXN0004329,2024-07-02T10:52:29.000Z,49132.87,automotive,purchase,chip,Los Angeles,CA,USA,USD,0,true,29,Male,0,declined,LuxuryAuto,false,false,7,3,10,0.0,8.0,1.0,2,1,0
TXN000035,2024-11-04T09:53:20.000Z,2000.0,jewelry,purchase,manual,Geneva,NA,CHE,CHF,1,true,61,male,0,declined,CryptoExchange,false,true,11,2,9,0.0,18.0,2.0,3,-1,1
TXN000155,2022-12-01T14:54:16.000Z,97.8,clothing,purchase,chip,Dallas,TX,USA,USD,0,false,27,female,0,approved,FashionBay,false,false,12,5,14,0.0,13.0,1.0,2,1,0
TXN000173,2023-08-09T13:13:19.000Z,15000.0,automobile,purchase,online,Berlin,NA,DEU,EUR,1,true,44,male,0,declined,SkyTravel,false,true,8,4,13,0.0,21.0,0.0,0,1,0
TXN000199,2023-07-11T17:17:59.000Z,199.99,fast_food,purchase,contactless,Montreal,NA,CAN,CAD,1,false,29,female,1,approved,SkyTravel,false,false,7,3,17,0.0,10.0,3.0,2,-1,1
TXN000224,2023-07-18T10:53:59.000Z,44.98,pharmacy,purchase,swipe,Toronto,NA,USA,USD,0,false,63,male,0,approved,SkyTravel,false,false,7,3,10,0.0,11.0,4.0,2,1,0
TXN000238,2024-01-06T15:32:28.000Z,11.4,coffee_shop,purchase,online,Geneva,NA,USA,USD,0,false,27,female,0,approved,BookNest,false,false,1,7,15,0.0,4.0,0.0,0,1,0
TXN000257,2022-03-01T13:46:37.000Z,9.39,pharmacy,purchase,chip,Phoenix,AZ,USA,USD,0,false,22,female,1,approved,GiftWorld,false,false,3,3,13,0.0,11.0,1.0,2,1,0
TXN000429,2024-01-25T19:24:21.000Z,20.75,fast_food,purchase,chip,Columbus,OH,USA,USD,0,false,31,male,0,approved,FuelExpress,false,false,1,5,19,0.0,10.0,1.0,2,1,0
TXN000462,2022-06-27T06:47:08.000Z,7.63,fast_food,purchase,swipe,Philadelphia,PA,USA,USD,0,false,24,male,0,approved,FuelExpress,false,false,6,2,6,0.0,10.0,4.0,2,1,0
TXN000474,2023-11-21T15:42:40.000Z,113.53,electronics,purchase,online,Dallas,TX,USA,USD,0,false,34,female,1,approved,FuelExpress,false,false,11,3,15,0.0,0.0,0.0,0,1,0
TXN000497,2023-02-20T07:17:52.000Z,207.27,clothing,purchase,online,Tokyo,NA,JPN,JPY,1,false,27,female,0,approved,GiftWorld,false,false,2,2,7,0.0,13.0,0.0,0,1,0
TXN000031,2024-04-21T22:33:24.000Z,150000.0,automotive,purchase,online,Los Angeles,CA,USA,USD,1,true,38,Male,1,declined,LuxuryAuto,true,true,4,1,22,0.0,8.0,0.0,0,-1,1
TXN000040,2024-06-19T19:19:19.000Z,72000.0,automotive,purchase,online,Los Angeles,CA,USA,USD,1,true,30,Male,1,declined,LuxuryAuto,true,true,6,4,19,0.0,8.0,0.0,0,-1,1
TXN000055,2024-03-17T15:44:00.000Z,56.79,fuel,purchase,swipe,Atlanta,GA,USA,USD,0,false,42,Female,0,approved,FuelExpress,false,false,3,1,15,0.0,9.0,4.0,2,1,0
TXN000085,2024-05-19T07:18:17.000Z,27.15,restaurant,purchase,swipe,Seattle,WA,USA,USD,0,false,27,Female,0,approved,TinyCafe,false,false,5,1,7,0.0,14.0,4.0,2,1,0
TXN000304,2024-04-29T20:47:55.000Z,3401.6,travel,purchase,online,London,NA,GBR,GBP,1,false,35,Female,1,approved,SkyTravel,false,false,4,2,20,0.0,3.0,0.0,0,1,0
TXN000346,2024-06-06T18:09:43.000Z,67.22,grocery,purchase,chip,Houston,TX,USA,USD,0,false,49,Female,0,approved,FarmFresh,false,false,6,5,18,0.0,2.0,1.0,0,1,0
TXN0004040,2024-07-11T13:57:08.000Z,3299.0,travel,purchase,online,London,NA,GBR,GBP,1,false,37,Male,1,approved,Sunshine Travel,false,false,7,5,13,0.0,3.0,0.0,0,1,0
TXN0004043,2024-07-12T08:15:46.000Z,60.4,fuel,purchase,swipe,Miami,FL,USA,USD,0,false,39,Female,0,approved,FuelExpress,false,false,7,6,8,0.0,9.0,4.0,2,1,0
TXN0004052,2024-06-27T19:36:13.000Z,41.92,fuel,purchase,swipe,Miami,FL,USA,USD,0,false,18,Female,0,approved,FuelExpress,false,false,6,5,19,0.0,9.0,4.0,2,1,0
TXN0004077,2024-07-04T15:44:50.000Z,30.63,books,purchase,online,Seattle,WA,USA,USD,0,false,38,Male,1,pending,BookNest,false,false,7,5,15,0.0,1.0,0.0,0,1,0
TXN0004098,2024-06-12T17:30:15.000Z,81.97,apparel,purchase,swipe,Toronto,ON,USA,USD,0,false,23,Female,0,approved,FashionBay,false,false,6,4,17,0.0,7.0,4.0,2,1,0
TXN0004117,2024-02-11T08:15:23.000Z,686.98,financial,withdrawal,manual,Dallas,TX,USA,USD,0,false,52,Female,0,pending,ATM Network,false,false,2,1,8,2.0,5.0,2.0,1,1,0
TXN0004188,2024-06-08T15:11:26.000Z,194.81,apparel,purchase,contactless,Cleveland,OH,USA,USD,0,false,40,Male,0,pending,FashionBay,false,false,6,7,15,0.0,7.0,3.0,2,1,0
TXN0004195,2024-07-11T10:56:12.000Z,207.92,electronics,purchase,chip,Atlanta,GA,USA,USD,0,false,40,Male,0,pending,ElectroZone,false,false,7,5,10,0.0,0.0,1.0,0,1,0
TXN0004259,2024-06-30T21:46:28.000Z,6.76,gifts,refund,manual,Phoenix,AZ,USA,USD,0,false,27,Female,0,approved,GiftWorld,false,false,6,1,21,1.0,6.0,2.0,3,1,0
TXN000069,2023-02-17T18:17:41.000Z,20.0,public_transport,purchase,contactless,Philadelphia,PA,USA,USD,0,false,23,female,0,pending,FarmFresh,false,false,2,6,18,0.0,12.0,3.0,2,1,0
TXN000090,2022-06-06T11:54:36.000Z,62.3,auto_services,purchase,swipe,Dallas,TX,USA,USD,0,false,27,male,0,approved,ATM Network,false,false,6,2,11,0.0,16.0,4.0,2,1,0
TXN000164,2023-11-24T12:35:10.000Z,127.3,electronics,purchase,online,Dallas,TX,USA,USD,0,false,35,female,0,approved,FashionBay,false,false,11,6,12,0.0,0.0,0.0,0,1,0
TXN000179,2023-09-23T15:28:44.000Z,129.0,pharmacy,purchase,online,New York,NY,USA,USD,0,false,61,female,0,approved,ATM Network,false,false,9,7,15,0.0,11.0,0.0,0,1,0
TXN000200,2022-11-24T13:31:44.000Z,88.98,clothing,purchase,chip,San Diego,CA,USA,USD,0,false,29,female,0,approved,ElectroZone,false,false,11,5,13,0.0,13.0,1.0,2,1,0
TXN000166,2023-07-03T18:21:45.000Z,850.25,pharmacy,refund,chip,Seattle,WA,USA,USD,0,false,60,female,0,approved,ATM Network,false,false,7,2,18,1.0,11.0,1.0,3,1,0
TXN000217,2023-10-16T02:22:35.000Z,52.4,electronics,refund,chip,Chicago,IL,USA,USD,0,false,26,female,0,approved,QuickMart,false,false,10,2,2,1.0,0.0,1.0,0,1,0
TXN000268,2022-07-30T22:47:10.000Z,352.05,auto_services,payment,swipe,San Antonio,TX,USA,USD,0,false,71,female,0,approved,GiftWorld,false,false,7,7,22,4.0,16.0,4.0,3,-1,1
TXN000288,2022-09-15T09:51:12.000Z,234.55,electronics,purchase,online,Geneva,NA,USA,USD,0,false,34,female,1,approved,BookNest,false,false,9,5,9,0.0,0.0,0.0,0,1,0
TXN000290,2022-02-04T08:08:46.000Z,246.17,electronics,purchase,online,London,NA,GBR,GBP,1,false,40,female,1,approved,Sunshine Travel,false,false,2,6,8,0.0,0.0,0.0,0,1,0
TXN000291,2022-08-04T09:36:34.000Z,12353.77,jewelry,purchase,manual,Dubai,NA,ARE,AED,1,true,26,female,0,declined,CryptoExchange,false,true,8,5,9,0.0,18.0,2.0,3,1,0
TXN000403,2023-09-14T11:48:14.000Z,599.48,luxury_goods,purchase,online,New York,NY,USA,USD,0,false,31,female,1,approved,CryptoExchange,false,false,9,5,11,0.0,15.0,0.0,0,1,0
TXN000460,2022-05-14T12:37:37.000Z,9.16,coffee_shop,purchase,chip,Austin,TX,USA,USD,0,false,26,female,0,approved,Sunshine Travel,false,false,5,7,12,0.0,4.0,1.0,2,1,0
TXN000482,2024-02-21T15:18:14.000Z,234.79,furniture,purchase,online,NA,NA,FRA,EUR,1,false,33,female,1,approved,FashionBay,false,false,2,4,15,0.0,19.0,0.0,0,1,0
TXN000490,2023-07-08T11:37:37.000Z,201.98,fast_food,purchase,contactless,Montreal,NA,CAN,CAD,1,false,28,female,0,approved,SkyTravel,false,false,7,7,11,0.0,10.0,3.0,2,1,0
TXN000496,2024-03-14T18:49:19.000Z,191.3,electronics,purchase,online,Austin,TX,USA,USD,0,false,34,female,0,approved,BookNest,false,false,3,5,18,0.0,0.0,0.0,0,1,0
TXN000061,2024-05-11T19:27:28.000Z,2585.33,travel,purchase,online,London,NA,GBR,GBP,1,false,34,Other,1,approved,SkyTravel,false,false,5,7,19,0.0,3.0,0.0,0,1,0
TXN000096,2024-03-20T13:56:17.000Z,61.3,fuel,purchase,swipe,Cleveland,OH,USA,USD,0,false,30,Female,0,approved,FuelExpress,false,false,3,4,13,0.0,9.0,4.0,2,1,0
TXN000307,2024-04-03T10:09:51.000Z,83.6,grocery,purchase,swipe,Denver,CO,USA,USD,0,false,63,Female,0,approved,FarmFresh,false,false,4,4,10,0.0,2.0,4.0,2,1,0
TXN000314,2024-06-01T16:10:33.000Z,210.5,apparel,refund,online,Dallas,TX,USA,USD,0,false,18,Male,1,approved,FashionBay,false,false,6,7,16,1.0,7.0,0.0,0,1,0
TXN000322,2024-04-01T12:22:25.000Z,65.77,grocery,purchase,swipe,Houston,TX,USA,USD,0,false,46,Female,0,approved,FarmFresh,false,false,4,2,12,0.0,2.0,4.0,2,1,0
TXN0004009,2024-07-05T20:45:02.000Z,289.99,electronics,purchase,chip,Atlanta,GA,USA,USD,0,false,49,Male,0,approved,ElectroZone,false,false,7,6,20,0.0,0.0,1.0,0,1,0
TXN0004022,2024-07-06T18:22:07.000Z,199.99,electronics,purchase,chip,Atlanta,GA,USA,USD,0,false,46,Female,0,approved,ElectroZone,false,false,7,7,18,0.0,0.0,1.0,0,1,0
TXN0004045,2024-07-12T17:33:12.000Z,6.5,restaurant,purchase,chip,Boston,MA,USA,USD,0,false,24,Other,0,approved,TinyCafe,false,false,7,6,17,0.0,14.0,1.0,2,1,0
TXN0004190,2024-02-03T22:07:08.000Z,115.81,electronics,refund,manual,Phoenix,AZ,USA,USD,0,false,44,Male,0,approved,ElectroZone,false,false,2,7,22,1.0,0.0,2.0,3,1,0
TXN0004230,2024-04-11T09:19:19.000Z,44.5,gifts,purchase,swipe,Phoenix,AZ,USA,USD,0,false,18,Male,0,pending,GiftWorld,false,false,4,5,9,0.0,6.0,4.0,2,1,0
TXN0004253,2024-07-14T08:55:05.000Z,1.24,books,refund,manual,Seattle,WA,USA,USD,0,false,18,Female,0,pending,BookNest,false,false,7,1,8,1.0,1.0,2.0,3,1,0
TXN0004256,2024-06-28T21:48:41.000Z,5.57,gifts,refund,manual,Phoenix,AZ,USA,USD,0,false,49,Female,0,pending,GiftWorld,false,false,6,6,21,1.0,6.0,2.0,3,1,0
TXN0004267,2024-02-25T08:40:43.000Z,2195.06,travel,purchase,online,Sydney,NSW,AUS,AUD,1,false,38,Female,1,pending,Sunshine Travel,false,false,2,1,8,0.0,3.0,0.0,0,1,0
TXN0004313,2024-04-16T18:35:31.000Z,11129.74,financial,transfer,online,Zurich,NA,CHE,EUR,1,true,60,Female,1,declined,CryptoExchange,true,true,4,3,18,3.0,5.0,0.0,1,-1,1
TXN0004347,2024-04-24T01:49:45.000Z,146527.87,automotive,purchase,online,Los Angeles,CA,USA,USD,1,true,40,Female,1,declined,LuxuryAuto,true,true,4,4,1,0.0,8.0,0.0,0,-1,1
TXN000083,2023-06-12T15:33:43.000Z,10.99,fast_food,purchase,online,Los Angeles,CA,USA,USD,0,false,37,male,0,approved,LuxuryAuto,false,false,6,2,15,0.0,10.0,0.0,0,1,0
TXN000180,2022-03-16T17:19:00.000Z,5.25,coffee_shop,purchase,contactless,NA,NA,GBR,GBP,1,false,29,female,0,approved,SkyTravel,false,false,3,4,17,0.0,4.0,3.0,2,1,0
TXN000192,2023-11-19T09:12:44.000Z,405.5,electronics,purchase,online,NA,NA,AUS,AUD,1,false,36,male,1,approved,Sunshine Travel,false,false,11,1,9,0.0,0.0,0.0,0,-1,1
TXN000208,2023-10-20T23:20:10.000Z,51.93,electronics,refund,chip,Chicago,IL,USA,USD,0,false,29,female,0,approved,QuickMart,false,false,10,6,23,1.0,0.0,1.0,0,-1,1
TXN000218,2024-03-07T12:30:48.000Z,50.3,electronics,purchase,chip,Houston,TX,USA,USD,0,false,26,male,0,approved,FuelExpress,false,false,3,5,12,0.0,0.0,1.0,0,1,0
TXN000225,2024-09-27T21:06:20.000Z,55.67,clothing,purchase,chip,Dallas,TX,USA,USD,0,false,44,male,0,approved,FashionBay,false,false,9,6,21,0.0,13.0,1.0,2,1,0
TXN000235,2022-03-10T16:04:52.000Z,10.1,public_transport,purchase,contactless,London,NA,ARE,AED,1,false,22,unknown,1,approved,ATMWithdrawal,false,false,3,5,16,0.0,12.0,3.0,2,1,0
TXN000282,2024-05-28T18:57:42.000Z,255.03,clothing,purchase,chip,Chicago,IL,USA,USD,0,false,27,female,1,approved,QuickMart,false,false,5,3,18,0.0,13.0,1.0,0,1,0
TXN000315,2022-07-27T16:47:08.000Z,34016.91,real_estate,transfer,manual,Toronto,NA,CAN,CAD,1,true,26,male,0,declined,SkyTravel,false,true,7,4,16,3.0,17.0,2.0,1,-1,1
TXN000316,2024-01-26T08:13:09.000Z,513916.6,real_estate,transfer,manual,Dubai,NA,ARE,AED,1,true,33,female,0,declined,QuickMart,false,true,1,6,8,3.0,17.0,2.0,1,-1,1
TXN000335,2024-05-08T04:38:23.000Z,62.05,auto_services,purchase,chip,Dallas,TX,USA,USD,0,false,42,male,0,approved,FashionBay,false,false,5,4,4,0.0,16.0,1.0,2,1,0
TXN000391,2024-04-12T16:55:32.000Z,2447.0,jewelry,purchase,manual,Dubai,NA,CHE,CHF,1,true,51,female,0,declined,CryptoExchange,false,true,4,6,16,0.0,18.0,2.0,3,1,0
TXN000420,2023-11-08T12:17:31.000Z,34.55,grocery,purchase,chip,New York,NY,USA,USD,0,false,31,female,0,approved,CryptoExchange,false,false,11,4,12,0.0,2.0,1.0,0,1,0
TXN000421,2023-04-16T17:29:48.000Z,26.79,books,purchase,chip,San Francisco,CA,USA,USD,0,false,22,female,0,approved,LuxuryAuto,false,false,4,1,17,0.0,1.0,1.0,0,1,0
TXN000488,2024-04-03T04:29:05.000Z,146.14,books,purchase,online,Austin,TX,USA,USD,0,false,35,female,1,approved,BookNest,false,false,4,4,4,0.0,1.0,0.0,0,1,0
TXN000018,2024-03-09T06:10:22.000Z,3420.75,travel,purchase,online,Miami,FL,USA,USD,1,false,50,Female,1,approved,SkyTravel,false,false,3,7,6,0.0,3.0,0.0,0,1,0
TXN000035,2024-02-09T09:12:17.000Z,8.99,gifts,refund,manual,Phoenix,AZ,USA,USD,0,false,21,Female,0,approved,GiftWorld,false,false,2,6,9,1.0,6.0,2.0,3,1,0
TXN000052,2024-06-02T12:55:19.000Z,98.5,apparel,purchase,contactless,Dallas,TX,USA,USD,0,false,38,Female,0,approved,FashionBay,false,false,6,1,12,0.0,7.0,3.0,2,1,0
TXN000097,2024-05-13T11:33:46.000Z,1422.5,travel,refund,online,London,NA,GBR,GBP,1,false,58,Female,1,approved,SkyTravel,false,false,5,2,11,1.0,3.0,0.0,0,-1,1
TXN000100,2024-02-22T14:12:27.000Z,209.99,electronics,purchase,chip,Phoenix,AZ,USA,USD,0,false,27,Female,0,approved,ElectroZone,false,false,2,5,14,0.0,0.0,1.0,0,1,0
TXN000300,2024-05-02T14:18:43.000Z,42.53,grocery,purchase,chip,Chicago,IL,USA,USD,0,false,51,Female,0,approved,QuickMart,false,false,5,5,14,0.0,2.0,1.0,0,1,0
TXN000320,2024-05-05T09:01:55.000Z,1289.5,electronics,purchase,chip,San Diego,CA,USA,USD,0,false,42,Male,0,approved,ElectroZone,false,false,5,1,9,0.0,0.0,1.0,0,1,0
TXN000327,2024-03-10T21:01:29.000Z,21.89,restaurant,purchase,swipe,Portland,OR,USA,USD,0,false,52,Male,0,approved,TinyCafe,false,false,3,1,21,0.0,14.0,4.0,2,1,0
TXN000331,2024-05-13T16:52:01.000Z,75.69,gifts,purchase,chip,Boston,MA,USA,USD,0,false,53,Male,0,approved,GiftWorld,false,false,5,2,16,0.0,6.0,1.0,2,1,0
TXN0004029,2024-07-09T08:21:10.000Z,128950.0,automotive,purchase,manual,Los Angeles,CA,USA,USD,0,true,26,Male,0,declined,LuxuryAuto,false,false,7,3,8,0.0,8.0,2.0,3,1,0
TXN0004062,2024-05-30T09:02:17.000Z,28.98,grocery,purchase,chip,Chicago,IL,USA,USD,0,false,56,Male,0,pending,QuickMart,false,false,5,5,9,0.0,2.0,1.0,0,1,0
TXN0004078,2024-05-12T11:53:33.000Z,27.81,grocery,purchase,chip,Chicago,IL,USA,USD,0,false,45,Male,0,approved,QuickMart,false,false,5,1,11,0.0,2.0,1.0,0,1,0
TXN0004089,2024-05-11T13:14:20.000Z,78.13,gifts,purchase,chip,Boston,MA,USA,USD,0,false,35,Female,0,approved,GiftWorld,false,false,5,7,13,0.0,6.0,1.0,2,1,0
TXN0004228,2024-04-13T09:24:49.000Z,46.1,gifts,purchase,swipe,Phoenix,AZ,USA,USD,0,false,35,Male,0,pending,GiftWorld,false,false,4,7,9,0.0,6.0,4.0,2,1,0
TXN0004327,2024-06-07T19:51:25.000Z,33947.06,financial,transfer,online,Zurich,NA,CHE,USD,1,true,40,Female,1,declined,CryptoExchange,true,true,6,6,19,3.0,5.0,0.0,1,-1,1
TXN0004348,2024-04-30T16:55:33.000Z,122216.47,automotive,purchase,online,Los Angeles,CA,USA,USD,1,true,46,Male,1,declined,LuxuryAuto,true,true,4,3,16,0.0,8.0,0.0,0,-1,1
TXN000048,2022-12-03T01:45:12.000Z,17.45,coffee_shop,purchase,contactless,Phoenix,AZ,USA,USD,0,false,52,male,0,approved,GiftWorld,false,false,12,7,1,0.0,4.0,3.0,2,-1,1
TXN000057,2024-01-20T19:41:00.000Z,4300.0,luxury_goods,purchase,manual,Zurich,NA,CHE,CHF,1,true,62,other,0,declined,CryptoExchange,false,true,1,7,19,0.0,15.0,2.0,3,-1,1
TXN000072,2023-06-10T10:30:10.000Z,19.99,fast_food,purchase,contactless,Seattle,WA,USA,USD,0,false,21,male,0,approved,ATM Network,false,false,6,7,10,0.0,10.0,3.0,2,1,0
TXN000091,2023-03-03T20:10:12.000Z,15.0,grocery,purchase,online,Montreal,NA,CAN,CAD,1,false,53,male,0,approved,SkyTravel,false,false,3,6,20,0.0,2.0,0.0,0,1,0
TXN000194,2024-03-18T15:25:35.000Z,120000.0,real_estate,transfer,manual,NA,NA,SGP,SGD,1,true,34,female,0,declined,Sunshine Travel,false,true,3,2,15,3.0,17.0,2.0,1,-1,1
TXN000198,2023-08-08T09:21:13.000Z,150.99,clothing,purchase,swipe,Boston,MA,USA,USD,0,false,50,female,0,approved,TinyCafe,false,false,8,3,9,0.0,13.0,4.0,2,1,0
TXN000180,2022-07-30T20:13:53.000Z,340.0,auto_services,payment,swipe,San Antonio,TX,USA,USD,0,false,38,male,1,approved,ElectroZone,false,false,7,7,20,4.0,16.0,4.0,3,-1,1
TXN000188,2023-03-15T13:18:17.000Z,8.25,pharmacy,purchase,chip,Seattle,WA,USA,USD,0,false,60,female,0,approved,SkyTravel,false,false,3,4,13,0.0,11.0,1.0,2,1,0
TXN000212,2024-03-09T07:21:38.000Z,51.1,electronics,purchase,chip,Houston,TX,USA,USD,0,false,31,female,0,approved,FuelExpress,false,false,3,7,7,0.0,0.0,1.0,0,1,0
TXN000253,2023-02-09T11:40:29.000Z,13.47,public_transport,purchase,contactless,Boston,MA,USA,USD,0,false,57,female,0,approved,GiftWorld,false,false,2,5,11,0.0,12.0,3.0,2,1,0
TXN000313,2022-04-05T21:40:46.000Z,5779.59,travel,purchase,online,London,NA,GBR,GBP,1,true,55,male,0,declined,SkyTravel,false,true,4,3,21,0.0,3.0,0.0,0,1,0
TXN000348,2022-11-26T02:37:05.000Z,93.26,charity,payment,online,NA,NA,CAN,CAD,1,false,51,other,0,approved,SkyTravel,false,false,11,7,2,4.0,22.0,0.0,1,-1,1
TXN000354,2023-03-03T15:43:34.000Z,13.76,grocery,purchase,online,Montreal,NA,CAN,CAD,1,false,54,male,0,approved,SkyTravel,false,false,3,6,15,0.0,2.0,0.0,0,1,0
TXN000382,2023-07-01T17:24:39.000Z,856.78,pharmacy,refund,chip,Seattle,WA,USA,USD,0,false,61,female,0,pending,BookNest,false,false,7,7,17,1.0,11.0,1.0,3,1,0
TXN000401,2024-11-04T04:35:07.000Z,2038.33,jewelry,purchase,manual,Geneva,NA,CHE,CHF,1,true,61,male,1,declined,CryptoExchange,true,true,11,2,4,0.0,18.0,2.0,3,-1,1
TXN000469,2022-02-13T06:50:11.000Z,7.65,grocery,purchase,chip,Vancouver,NA,CAN,CAD,1,false,52,female,1,approved,SkyTravel,false,false,2,1,6,0.0,2.0,1.0,0,-1,1
TXN000479,2024-04-05T07:01:20.000Z,140.1,books,purchase,online,Austin,TX,USA,USD,0,false,35,female,0,approved,BookNest,false,false,4,6,7,0.0,1.0,0.0,0,1,0
TXN000499,2024-04-01T06:01:29.000Z,123.78,books,purchase,online,Berlin,NA,USA,USD,0,false,35,female,0,approved,GiftWorld,false,false,4,2,6,0.0,1.0,0.0,0,1,0
TXN000098,2024-06-03T08:28:11.000Z,1650.0,travel,purchase,online,London,NA,GBR,GBP,1,false,36,Female,1,approved,SkyTravel,false,false,6,2,8,0.0,3.0,0.0,0,1,0
TXN0004028,2024-07-08T18:36:22.000Z,2250.0,travel,purchase,online,New York,NY,USA,USD,0,false,54,Female,1,approved,SkyTravel,false,false,7,2,18,0.0,3.0,0.0,0,1,0
TXN0004173,2024-02-18T04:59:04.000Z,191.48,financial,withdrawal,manual,Austin,TX,USA,USD,0,false,24,Female,0,pending,ATMWithdrawal,false,false,2,1,4,2.0,5.0,2.0,1,1,0
TXN0004178,2024-04-16T15:19:19.000Z,112.57,gifts,purchase,swipe,Phoenix,AZ,USA,USD,0,false,18,Male,0,pending,GiftWorld,false,false,4,3,15,0.0,6.0,4.0,2,1,0
